Radius,Theta,Direction,Timestamp
4,2.93215322,1,2023-12-17T13:31:50.5154944+01:00
5,3.1415,2,2023-12-17T13:31:57.5298560+01:00
4,2.51327419,1,2023-12-17T13:32:10.5182720+01:00
5,3.1415,2,2023-12-17T13:32:17.5324416+01:00
3,3.35103226,2,2023-12-17T13:32:30.5223680+01:00
5,3.1415,1,2023-12-17T13:32:37.5379072+01:00
5,2.09439516,1,2023-12-17T13:32:50.5379584+01:00
5,3.1415,2,2023-12-17T13:32:57.5572096+01:00
5,2.09439516,1,2023-12-17T13:33:10.5559040+01:00
5,3.1415,2,2023-12-17T13:33:17.5608576+01:00
5,3.76991129,2,2023-12-17T13:33:30.5733760+01:00
5,3.1415,1,2023-12-17T13:33:37.5901440+01:00
4,3.76991129,2,2023-12-17T13:33:50.5633152+01:00
5,3.1415,1,2023-12-17T13:33:57.5778560+01:00
4,2.51327419,1,2023-12-17T13:34:10.5664256+01:00
5,3.1415,2,2023-12-17T13:34:17.5789440+01:00
5,2.09439516,1,2023-12-17T13:34:30.5822336+01:00
5,3.1415,2,2023-12-17T13:34:37.5972096+01:00
3,4.18879032,2,2023-12-17T13:34:50.5848064+01:00
5,3.1415,1,2023-12-17T13:34:57.5996416+01:00
5,2.51327419,1,2023-12-17T13:35:10.5877760+01:00
5,3.1415,2,2023-12-17T13:35:17.6057984+01:00
5,3.76991129,2,2023-12-17T13:35:30.5907456+01:00
5,3.1415,1,2023-12-17T13:35:37.5951616+01:00
16,2.29999995,1,2023-12-17T13:35:50.6070400+01:00
5,3.1415,2,2023-12-17T13:35:57.6123392+01:00
3,3.35103226,2,2023-12-17T13:36:10.6107648+01:00
5,3.1415,1,2023-12-17T13:36:17.6246400+01:00
5,3.76991129,2,2023-12-17T13:36:30.6136960+01:00
5,3.1415,1,2023-12-17T13:36:37.6205056+01:00
5,2.93215322,1,2023-12-17T13:36:50.6328704+01:00
5,3.1415,2,2023-12-17T13:36:57.6384384+01:00
3,2.93215322,1,2023-12-17T13:37:10.6503040+01:00
5,3.1415,2,2023-12-17T13:37:17.6656896+01:00
5,3.76991129,2,2023-12-17T13:37:30.6654848+01:00
5,3.1415,1,2023-12-17T13:37:37.6702336+01:00
3,3.76991129,2,2023-12-17T13:37:50.6685952+01:00
5,3.1415,1,2023-12-17T13:37:57.6841984+01:00
5,2.09439516,1,2023-12-17T13:38:10.6866176+01:00
5,3.1415,2,2023-12-17T13:38:17.7030784+01:00
4,2.51327419,1,2023-12-17T13:38:30.6915584+01:00
5,3.1415,2,2023-12-17T13:38:37.7059328+01:00
3,2.93215322,1,2023-12-17T13:38:50.6936704+01:00
5,3.1415,2,2023-12-17T13:38:57.7099648+01:00
4,2.93215322,1,2023-12-17T13:39:10.7102208+01:00
5,3.1415,2,2023-12-17T13:39:17.7271936+01:00
5,4.18879032,2,2023-12-17T13:39:30.7117312+01:00
